Player,Nation,Pos,Team,Age,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%
Joshua Acheampong,eng ENG,DF,Chelsea,19,170,0,0,1,0,0.2,0.0,0,8,0,0.0,0.0,0.12,0.0,N/A,0.0,0.0,8.9,104,83.9,2025,N/A,N/A,N/A,0,6,0,0,N/A,N/A,N/A,N/A,2,1,N/A,0,1,0,1,1,137,7,48,81,8,3,N/A,N/A,106,N/A,2,0,2,0,111,0,N/A,0,0,7,1,6,14.3
Tyler Adams,us USA,MF,Bournemouth,26,1710,0,3,7,0,1.6,1.0,12,65,9,0.0,0.16,0.08,0.05,N/A,0.11,0.0,16.1,757,83.6,11872,N/A,N/A,N/A,16,57,2,1,N/A,N/A,N/A,N/A,75,46,N/A,31,33,10,23,32,1151,53,308,661,194,17,N/A,N/A,554,N/A,17,1,27,12,630,41,N/A,0,3,100,29,17,63.0
Tosin Adarabioyo,eng ENG,DF,Chelsea,27,1229,1,1,3,0,0.9,0.2,5,37,1,0.07,0.07,0.07,0.02,N/A,0.15,0.08,12.5,988,91.4,18105,N/A,N/A,N/A,1,53,1,0,N/A,N/A,N/A,N/A,14,10,N/A,4,9,7,2,10,1198,160,570,603,26,13,N/A,N/A,713,N/A,2,0,3,0,916,8,N/A,1,0,34,36,26,58.1
Simon Adingra,ci CIV,"FW,MF",Brighton,23,956,2,1,0,0,2.2,1.8,37,14,119,0.19,0.09,0.21,0.17,N/A,0.66,0.08,16.2,255,76.1,3699,N/A,N/A,N/A,13,5,12,5,N/A,N/A,N/A,N/A,23,14,N/A,12,12,0,12,8,488,8,63,158,272,64,N/A,N/A,324,N/A,17,20,35,11,341,11,N/A,2,35,41,6,3,66.7
Emmanuel Agbadou,ci CIV,DF,Wolves,27,1140,0,0,2,0,0.3,0.2,3,22,1,0.0,0.0,0.02,0.02,N/A,0.08,0.0,31.8,663,85.0,13505,N/A,N/A,N/A,4,26,1,0,N/A,N/A,N/A,N/A,27,18,N/A,6,16,12,4,9,924,155,527,381,22,5,N/A,N/A,572,N/A,3,0,3,3,615,5,N/A,1,1,66,22,16,57.9
Ola Aina,ng NGA,DF,Nott'ham Forest,28,2733,2,1,3,0,0.6,1.1,59,97,56,0.07,0.03,0.02,0.04,N/A,0.07,0.2,25.9,893,73.3,13813,N/A,N/A,N/A,15,78,20,9,N/A,N/A,N/A,N/A,54,41,N/A,28,32,12,20,31,1550,148,568,647,364,21,N/A,N/A,675,N/A,40,10,40,22,737,21,N/A,2,47,173,13,18,41.9
Rayan Aït-Nouri,dz ALG,DF,Wolves,23,2865,4,7,7,1,2.6,4.7,79,100,158,0.13,0.22,0.08,0.15,N/A,0.25,0.12,14.9,1309,83.9,18002,N/A,N/A,N/A,36,67,27,9,N/A,N/A,N/A,N/A,82,52,N/A,26,40,6,34,24,1944,86,535,827,605,84,N/A,N/A,1006,N/A,54,24,43,44,1181,30,N/A,5,86,133,20,28,41.7
Kristoffer Ajer,no NOR,DF,Brentford,27,1405,0,0,5,0,0.8,1.2,27,54,42,0.0,0.0,0.05,0.08,N/A,0.19,0.0,10.2,489,78.1,7626,N/A,N/A,N/A,8,42,7,4,N/A,N/A,N/A,N/A,25,17,N/A,12,17,4,13,12,773,52,260,359,160,35,N/A,N/A,378,N/A,11,2,15,12,481,12,N/A,1,14,42,27,22,55.1
Manuel Akanji,ch SUI,DF,Manchester City,29,1744,0,0,3,0,0.7,0.4,38,138,6,0.0,0.0,0.04,0.02,N/A,0.05,0.0,16.3,1427,93.9,23477,N/A,N/A,N/A,9,153,11,2,N/A,N/A,N/A,N/A,16,11,N/A,5,11,8,3,7,1635,111,487,797,353,11,N/A,N/A,1071,N/A,52,0,4,5,1291,16,N/A,0,11,89,26,29,47.3
Nathan Aké,nl NED,DF,Manchester City,30,678,0,0,0,0,0.2,0.0,12,50,2,0.0,0.0,0.03,0.0,N/A,0.0,0.0,10.0,509,93.9,8321,N/A,N/A,N/A,1,42,1,0,N/A,N/A,N/A,N/A,9,7,N/A,2,7,2,5,3,596,51,205,331,61,5,N/A,N/A,403,N/A,12,1,4,3,449,2,N/A,0,1,24,13,10,56.5
