Team,Median of Standard_Gls,Mean of Standard_Gls,Std of Standard_Gls,Median of Standard_Ast,Mean of Standard_Ast,Std of Standard_Ast,Median of Standard_CrdY,Mean of Standard_CrdY,Std of Standard_CrdY,Median of Standard_CrdR,Mean of Standard_CrdR,Std of Standard_CrdR,Median of Standard_xG,Mean of Standard_xG,Std of Standard_xG,Median of Standard_xAG,Mean of Standard_xAG,Std of Standard_xAG,Median of Standard_PrgC,Mean of Standard_PrgC,Std of Standard_PrgC,Median of Standard_PrgP,Mean of Standard_PrgP,Std of Standard_PrgP,Median of Standard_PrgR,Mean of Standard_PrgR,Std of Standard_PrgR,Median of Standard_Gls/90,Mean of Standard_Gls/90,Std of Standard_Gls/90,Median of Standard_Ast/90,Mean of Standard_Ast/90,Std of Standard_Ast/90,Median of Standard_xG/90,Mean of Standard_xG/90,Std of Standard_xG/90,Median of Standard_xAG/90,Mean of Standard_xAG/90,Std of Standard_xAG/90,Median of Shooting_SoT%,Mean of Shooting_SoT%,Std of Shooting_SoT%,Median of Shooting_SoT/90,Mean of Shooting_SoT/90,Std of Shooting_SoT/90,Median of Shooting_G/Sh,Mean of Shooting_G/Sh,Std of Shooting_G/Sh,Median of Shooting_Dist,Mean of Shooting_Dist,Std of Shooting_Dist,Median of Passing_Cmp,Mean of Passing_Cmp,Std of Passing_Cmp,Median of Passing_Total_Cmp%,Mean of Passing_Total_Cmp%,Std of Passing_Total_Cmp%,Median of Passing_TotDist,Mean of Passing_TotDist,Std of Passing_TotDist,Median of Passing_Short_Cmp%,Mean of Passing_Short_Cmp%,Std of Passing_Short_Cmp%,Median of Passing_Medium_Cmp%,Mean of Passing_Medium_Cmp%,Std of Passing_Medium_Cmp%,Median of Passing_Long_Cmp%,Mean of Passing_Long_Cmp%,Std of Passing_Long_Cmp%,Median of Passing_KP,Mean of Passing_KP,Std of Passing_KP,Median of Passing_1/3,Mean of Passing_1/3,Std of Passing_1/3,Median of Passing_PPA,Mean of Passing_PPA,Std of Passing_PPA,Median of Passing_CrsPA,Mean of Passing_CrsPA,Std of Passing_CrsPA,Median of Goalkeeping_GA90,Mean of Goalkeeping_GA90,Std of Goalkeeping_GA90,Median of Goalkeeping_Save%,Mean of Goalkeeping_Save%,Std of Goalkeeping_Save%,Median of Goalkeeping_CS%,Mean of Goalkeeping_CS%,Std of Goalkeeping_CS%,Median of Goalkeeping_Penalty_Save%,Mean of Goalkeeping_Penalty_Save%,Std of Goalkeeping_Penalty_Save%,Median of Defense_Tkl,Mean of Defense_Tkl,Std of Defense_Tkl,Median of Defense_TklW,Mean of Defense_TklW,Std of Defense_TklW,Median of Defense_Att,Mean of Defense_Att,Std of Defense_Att,Median of Defense_Lost,Mean of Defense_Lost,Std of Defense_Lost,Median of Defense_Blocks,Mean of Defense_Blocks,Std of Defense_Blocks,Median of Defense_Sh,Mean of Defense_Sh,Std of Defense_Sh,Median of Defense_Pass,Mean of Defense_Pass,Std of Defense_Pass,Median of Defense_Int,Mean of Defense_Int,Std of Defense_Int,Median of Possession_Touches,Mean of Possession_Touches,Std of Possession_Touches,Median of Possession_Def Pen,Mean of Possession_Def Pen,Std of Possession_Def Pen,Median of Possession_Def 3rd,Mean of Possession_Def 3rd,Std of Possession_Def 3rd,Median of Possession_Mid 3rd,Mean of Possession_Mid 3rd,Std of Possession_Mid 3rd,Median of Possession_Att 3rd,Mean of Possession_Att 3rd,Std of Possession_Att 3rd,Median of Possession_Att Pen,Mean of Possession_Att Pen,Std of Possession_Att Pen,Median of Possession_Succ%,Mean of Possession_Succ%,Std of Possession_Succ%,Median of Possession_Tkld%,Mean of Possession_Tkld%,Std of Possession_Tkld%,Median of Possession_Carries,Mean of Possession_Carries,Std of Possession_Carries,Median of Possession_PrgDist,Mean of Possession_PrgDist,Std of Possession_PrgDist,Median of Possession_1/3,Mean of Possession_1/3,Std of Possession_1/3,Median of Possession_CPA,Mean of Possession_CPA,Std of Possession_CPA,Median of Possession_Mis,Mean of Possession_Mis,Std of Possession_Mis,Median of Possession_Dis,Mean of Possession_Dis,Std of Possession_Dis,Median of Possession_Rec,Mean of Possession_Rec,Std of Possession_Rec,Median of Misc_Fls,Mean of Misc_Fls,Std of Misc_Fls,Median of Misc_Fld,Mean of Misc_Fld,Std of Misc_Fld,Median of Misc_Off,Mean of Misc_Off,Std of Misc_Off,Median of Misc_Crs,Mean of Misc_Crs,Std of Misc_Crs,Median of Misc_Recov,Mean of Misc_Recov,Std of Misc_Recov,Median of Misc_Won,Mean of Misc_Won,Std of Misc_Won,Median of Misc_Lost,Mean of Misc_Lost,Std of Misc_Lost,Median of Misc_Won%,Mean of Misc_Won%,Std of Misc_Won%
all,1.0,2.008281573498965,3.5152208673535745,1.0,1.494824016563147,2.2187138156906427,2.0,2.9440993788819876,2.6012647271999665,0.0,0.09109730848861283,0.3088988555491032,0.9,2.032298136645963,3.077692509111278,0.9,1.503312629399586,1.864571802819407,15.0,26.25672877846791,30.627942847224368,38.0,51.75776397515528,49.81939702867773,25.0,51.113871635610764,63.89044592924227,0.03,0.12126293995859212,0.18647266053172123,0.04,0.08968944099378882,0.12488379175975028,0.07,0.1331055900621118,0.16065311213159253,0.07,0.09734989648033127,0.1017156547139607,0,0,0,0.23,0.40153209109730853,0.4712349500168706,0.06,0.07888631090487239,0.10030958391961543,16.3,16.763573085846865,5.115325377236024,452.0,555.768115942029,457.61103459302393,80.1,79.29399585921325,8.243605920002373,7325.0,9548.848861283645,8279.849326856736,0,0,0,0,0,0,0,0,0,8.0,13.701863354037267,15.317461378333057,29.0,43.4472049689441,44.90052175871443,6.0,11.693581780538302,14.360117235585173,1.0,2.772256728778468,4.28181240956643,0,0,0,0,0,0,0,0,0,0,0,0,17.0,24.73706004140787,22.510836792119694,10.0,14.770186335403727,13.836590095969429,0,0,0,8.0,11.062111801242237,10.32683092845133,12.0,15.31055900621118,13.64239609686023,2.0,5.190476190476191,7.308336084827296,8.0,10.120082815734989,9.316366181688094,7.0,11.221532091097309,11.688141316751697,747.0,839.9420289855072,618.9254145949731,31.0,95.01863354037268,175.3587244042478,158.0,278.2153209109731,306.1104389654506,278.0,356.7391304347826,314.3738726514678,141.0,213.26915113871635,209.6758860715756,20.0,34.75155279503105,41.00901090979387,0,0,0,0,0,0,402.0,471.42857142857144,357.6595030120728,0,0,0,13.0,17.627329192546583,18.27844337545136,2.0,8.173913043478262,14.29123511269634,13.0,19.053830227743273,19.339862753275057,8.0,13.24223602484472,14.760653258456275,484.0,549.9068322981367,419.0708671772691,12.0,15.474120082815736,13.724348120400784,0,0,0,1.0,2.383022774327122,3.9698398189696436,9.0,24.60248447204969,35.83716275709466,45.0,58.302277432712216,46.23209236122831,10.0,18.17184265010352,21.139368449999072,13.0,18.115942028985508,18.39411253716328,50.0,49.08361344537815,21.689658568319164
Arsenal,2.0,2.772727272727273,2.8103858095052354,1.5,2.272727272727273,2.6758499883538236,2.5,2.909090909090909,1.9738550848793073,0.0,0.22727272727272727,0.5284134548067253,1.65,2.5,2.5875158154566122,0.9,1.8863636363636365,2.128557628009534,23.0,34.31818181818182,31.38301992151073,55.5,75.18181818181819,60.815596655272536,51.0,74.18181818181819,75.04134502528231,0.1,0.16499999999999998,0.1669545133376439,0.11,0.13863636363636364,0.1549284152530253,0.095,0.1522727272727273,0.14182255238020633,0.095,0.12090909090909091,0.11939965266397157,0,0,0,0.225,0.41090909090909095,0.4100512057560511,0.14,0.13666666666666666,0.13035848009751164,15.0,14.671428571428573,4.998714120365642,459.5,700.4090909090909,551.782622751535,82.8,82.34545454545453,6.296614908612351,7044.5,11484.318181818182,9779.359723838013,0,0,0,0,0,0,0,0,0,10.0,17.136363636363637,17.313070907335426,39.5,56.95454545454545,52.282635989150606,9.0,17.863636363636363,17.81731489188845,1.5,3.0,3.625307868699863,0,0,0,0,0,0,0,0,0,0,0,0,19.0,24.09090909090909,20.3280455831208,12.0,14.272727272727273,12.329530243172933,0,0,0,10.5,10.318181818181818,7.167295854792788,10.0,13.181818181818182,10.839242477644714,1.5,4.318181818181818,6.792056730625461,7.5,8.863636363636363,7.272226714375824,6.0,9.272727272727273,8.647497949072944,738.5,983.7727272727273,662.5281975539701,24.0,73.5909090909091,163.87238330071972,120.5,246.1818181818182,327.21445368641446,291.0,427.95454545454544,385.05231274436403,223.5,316.90909090909093,232.4484395651583,37.0,52.5,48.60114637095948,0,0,0,0,0,0,406.5,578.1818181818181,402.19003283376196,0,0,0,19.0,21.363636363636363,17.956416692450095,4.5,11.772727272727273,14.582872596308762,15.0,19.318181818181817,15.285805315908094,13.5,15.681818181818182,13.357310691817755,528.5,693.6818181818181,483.47328545527495,14.0,16.636363636363637,11.0606357112809,0,0,0,1.5,3.409090909090909,3.7245529090475236,11.0,31.818181818181817,42.05057766845876,48.0,58.04545454545455,40.02793937658958,10.5,19.5,19.81521781719437,15.5,18.954545454545453,17.761588498048983,51.15,48.0,19.478021802363127
Aston Villa,1.0,2.0,3.370459909270543,0.0,1.5769230769230769,2.4194722882988664,2.0,2.3846153846153846,2.3164960276576876,0.0,0.038461538461538464,0.19611613513818402,0.8500000000000001,2.0384615384615383,3.0137122521006448,0.55,1.484615384615385,2.001537870277214,18.0,24.192307692307693,23.243096576436162,34.5,45.26923076923077,47.16232198889931,23.0,44.73076923076923,51.91574535133456,0.05,0.1892307692307692,0.2992246390513064,0.0,0.0926923076923077,0.11773046138727877,0.08499999999999999,0.20192307692307696,0.25399242871816835,0.055,0.09307692307692308,0.10806550719889231,0,0,0,0.22,0.5053846153846153,0.6851991288332512,0.06,0.08217391304347825,0.08420518887807388,16.3,16.852173913043476,4.668158052673783,488.5,501.53846153846155,418.04002016737405,82.1,81.31153846153846,7.186227211719759,7160.0,8587.73076923077,7805.291474673793,0,0,0,0,0,0,0,0,0,8.0,12.5,14.838463532320318,23.5,38.96153846153846,46.265737447256384,8.0,10.807692307692308,12.683908642904145,0.0,1.9615384615384615,3.778685160007584,0,0,0,0,0,0,0,0,0,0,0,0,11.5,21.846153846153847,20.59454744866671,6.5,12.653846153846153,12.544137460000373,0,0,0,5.5,8.076923076923077,8.25553427428208,10.5,11.115384615384615,9.06565793785282,3.0,3.730769230769231,4.200549414614163,6.0,7.384615384615385,6.394228166569742,6.0,8.26923076923077,8.525527278979018,693.0,736.5769230769231,560.7276110966482,31.5,89.6923076923077,192.9888637679945,144.0,248.34615384615384,298.37519230763036,256.0,313.11538461538464,296.84033781453314,118.5,182.3846153846154,168.26932624173116,20.0,32.57692307692308,38.14726525131056,0,0,0,0,0,0,411.5,416.0769230769231,310.6560700294682,0,0,0,13.0,15.153846153846153,13.104784798514801,2.0,7.1923076923076925,10.77411427735656,9.5,17.26923076923077,21.856912302166915,8.0,13.076923076923077,15.356882696493,483.5,492.15384615384613,377.40712153404763,8.5,13.76923076923077,13.782039594509058,0,0,0,0.5,1.8076923076923077,2.828699075818858,6.0,20.807692307692307,34.66874007606187,39.5,47.30769230769231,35.92299456422778,9.5,12.653846153846153,11.889297061449202,10.0,14.076923076923077,13.93103894739535,47.2,41.263999999999996,23.280962895321434
Bournemouth,1.0,2.260869565217391,3.4930761554349172,1.0,1.6521739130434783,1.991086858344044,3.0,3.782608695652174,3.1472429744017143,0.0,0.08695652173913043,0.2881040655200304,1.1,2.6391304347826092,3.5000959896492683,1.1,1.7739130434782604,1.8273720304167422,19.0,29.26086956521739,34.02167409608756,41.0,57.43478260869565,51.583847090270524,31.0,56.608695652173914,70.37738475238322,0.03,0.13434782608695653,0.18112843476777168,0.05,0.10130434782608697,0.11577031916004625,0.08,0.1817391304347826,0.20211725161205188,0.1,0.12913043478260872,0.14881083304524761,0,0,0,0.15,0.5434782608695652,0.6548810349677828,0.065,0.05800000000000001,0.05307393056165293,16.450000000000003,15.830000000000002,4.372413521157394,436.0,488.9130434782609,394.51787758126414,74.2,73.82173913043479,6.578750677317716,7088.0,8854.95652173913,7609.613456186141,0,0,0,0,0,0,0,0,0,11.0,17.434782608695652,16.255980960743265,37.0,47.34782608695652,47.008324887147936,7.0,12.956521739130435,13.656427926636416,2.0,3.9130434782608696,5.264918573817909,0,0,0,0,0,0,0,0,0,0,0,0,21.0,27.47826086956522,23.125879964028872,10.0,15.91304347826087,14.406163590877156,0,0,0,13.0,13.130434782608695,10.493739899344694,15.0,18.47826086956522,16.525103672394895,3.0,5.565217391304348,7.082796616107111,8.0,12.91304347826087,12.580334738566672,10.0,14.0,15.300029708824395,783.0,829.0869565217391,608.2685496213807,44.0,87.47826086956522,146.08150575658328,159.0,249.65217391304347,270.36097228699333,298.0,354.17391304347825,312.7164925984605,127.0,235.52173913043478,234.76174954916192,19.0,39.130434782608695,47.7772334027469,0,0,0,0,0,0,479.0,445.1304347826087,332.0133217956809,0,0,0,15.0,20.347826086956523,19.81645022714066,1.0,9.0,15.888818252297604,17.0,22.956521739130434,21.074496135181466,8.0,13.826086956521738,17.001743691090905,413.0,484.0,357.83973050413607,15.0,19.82608695652174,17.739663248605172,0,0,0,0.0,2.739130434782609,5.074153680479389,10.0,32.30434782608695,40.418756652426396,56.0,71.43478260869566,56.26384765868474,20.0,22.782608695652176,20.828207538072306,22.0,24.217391304347824,20.540329557724263,46.1,50.195454545454545,18.12318896759007
Brentford,0.0,2.761904761904762,5.2906026301808184,2.0,1.8571428571428572,2.455314934702151,2.0,2.5238095238095237,1.8873009198071093,0.0,0.047619047619047616,0.21821789023599242,0.8,2.480952380952381,3.9303459195876194,1.2,1.795238095238095,2.241088171062484,12.0,25.285714285714285,31.87968452971713,51.0,56.714285714285715,53.19693868743094,27.0,56.04761904761905,74.6963695171835,0.0,0.1123809523809524,0.18931203770243354,0.07,0.0838095238095238,0.09672001811808094,0.07,0.11952380952380952,0.1558356888031811,0.06,0.09047619047619049,0.07933953557188185,0,0,0,0.18,0.3114285714285715,0.3705170132974424,0.05,0.07722222222222222,0.08470054903326157,15.3,15.988888888888892,4.26695771066168,483.0,565.8095238095239,435.5859982882392,77.2,76.44285714285714,8.036203794614183,7530.0,10385.42857142857,9215.522782628386,0,0,0,0,0,0,0,0,0,8.0,14.095238095238095,17.21889880888079,41.0,46.76190476190476,39.72266955015078,7.0,13.761904761904763,18.47134202461955,2.0,3.8095238095238093,5.2784377198092205,0,0,0,0,0,0,0,0,0,0,0,0,25.0,26.714285714285715,21.543311855754343,17.0,16.238095238095237,12.696081135156478,0,0,0,10.0,11.619047619047619,10.40901623822439,17.0,20.38095238095238,18.688167889004504,4.0,8.380952380952381,12.379322237005507,13.0,12.0,10.014988766843425,8.0,12.476190476190476,12.040012656218629,780.0,910.4761904761905,654.1051611971594,51.0,142.61904761904762,283.87540861978096,226.0,357.3333333333333,411.39218919825566,334.0,338.9047619047619,271.3587855150271,158.0,222.52380952380952,227.73726507702227,24.0,41.76190476190476,45.468565803096055,0,0,0,0,0,0,395.0,481.0,352.50049645355114,0,0,0,10.0,15.428571428571429,18.494786910292934,1.0,9.0,17.25688268488837,14.0,22.38095238095238,25.71667978273282,8.0,12.333333333333334,13.316656236958785,484.0,557.4761904761905,400.55506725637855,12.0,12.952380952380953,10.360869608658293,0,0,0,1.0,2.9523809523809526,4.477456761111049,13.0,28.571428571428573,44.22168181850553,50.0,69.0952380952381,54.548973190982025,12.0,26.761904761904763,31.19920633911184,14.0,23.61904761904762,23.688554600220314,55.1,53.98571428571429,19.473142676884123
Brighton,1.0,1.9285714285714286,2.9555794246559737,1.0,1.2857142857142858,1.5836465855538944,2.0,2.607142857142857,2.543536262681686,0.0,0.10714285714285714,0.314970394174356,0.75,1.8821428571428573,2.6435180783735586,0.9500000000000001,1.2928571428571427,1.3965376687785618,16.5,25.857142857142858,29.882131767024234,38.5,48.92857142857143,49.26416214610446,26.5,48.642857142857146,62.019240912689696,0.045,0.12249999999999998,0.14913640288898838,0.035,0.09035714285714283,0.12638806034963035,0.09,0.12964285714285714,0.11955107827811641,0.09,0.10178571428571427,0.07635460991339328,0,0,0,0.31,0.4560714285714286,0.649925005848762,0.055,0.08038461538461537,0.08879102518749377,16.5,17.557692307692307,3.912050416538425,333.0,506.0357142857143,475.9446343573431,80.7,79.44642857142857,8.25996512156824,4728.0,8611.857142857143,9051.475900583064,0,0,0,0,0,0,0,0,0,9.0,11.714285714285714,9.988353005736018,21.5,37.92857142857143,47.644461472396856,7.5,10.785714285714286,10.386448232110286,1.0,2.8214285714285716,3.7717622507510304,0,0,0,0,0,0,0,0,0,0,0,0,16.5,22.107142857142858,19.23796263509227,10.0,13.464285714285714,11.714132467703251,0,0,0,9.0,11.607142857142858,9.121968946467504,12.0,14.0,12.058499384558901,2.0,3.892857142857143,5.328743064316636,9.0,10.107142857142858,9.753780978996986,8.5,10.0,9.564595207403263,630.0,757.3928571428571,610.2353728828411,22.5,83.03571428571429,190.60089816407577,118.0,241.46428571428572,318.66544422625327,227.0,328.7857142857143,319.4130446955684,147.0,195.60714285714286,177.30833977705998,17.0,34.0,41.84096875870188,0,0,0,0,0,0,367.5,445.2857142857143,381.5798404045667,0,0,0,15.5,18.321428571428573,18.441205012906348,2.5,8.285714285714286,14.771988363508829,10.0,18.357142857142858,18.911517724537674,7.0,11.142857142857142,12.026865869606373,408.0,500.2857142857143,419.44556501479667,10.5,14.071428571428571,12.250256449102732,0,0,0,1.0,1.4285714285714286,1.7935805576921313,10.0,22.178571428571427,27.224789318544843,39.0,52.107142857142854,43.578230451822726,11.5,16.714285714285715,17.75524365500731,10.5,15.0,14.404217489384195,53.8,50.170370370370364,19.868661346545313
Chelsea,1.0,2.1923076923076925,3.4758507536340595,1.0,1.6923076923076923,2.2048896710580466,2.5,3.6153846153846154,3.2505620815720238,0.0,0.038461538461538464,0.19611613513818402,0.75,2.4461538461538463,3.9643643393846406,1.05,1.876923076923077,2.3167749467408685,11.0,30.115384615384617,38.78590148296355,33.0,56.53846153846154,61.782347491322,11.5,55.80769230769231,74.49994321112962,0.05,0.14615384615384613,0.2058169463008704,0.065,0.1323076923076923,0.18394146226031136,0.08499999999999999,0.155,0.1757782694191748,0.1,0.15307692307692308,0.1694171002176399,0,0,0,0.28,0.45692307692307693,0.48999403450057827,0.08,0.09391304347826088,0.11846515139424614,15.0,15.108695652173916,4.581872686168065,492.5,636.4615384615385,575.7149454908553,84.7,84.07692307692308,6.4065159138057375,7569.5,11007.26923076923,10339.84938597344,0,0,0,0,0,0,0,0,0,6.5,16.26923076923077,20.954345978450753,27.0,52.76923076923077,57.37128737778694,4.0,12.653846153846153,16.88772881755817,0.0,2.6923076923076925,5.349910135837654,0,0,0,0,0,0,0,0,0,0,0,0,11.0,20.0,23.23445717033217,8.5,12.5,14.409024949662625,0,0,0,5.5,9.346153846153847,11.534096610284857,9.0,12.0,12.96148139681572,1.5,3.576923076923077,5.485785828288064,5.5,8.423076923076923,9.495991056959046,7.0,9.384615384615385,11.005732771885471,713.5,882.9615384615385,749.4059770655278,19.5,81.96153846153847,174.11363663291414,123.5,263.61538461538464,324.62976781842747,254.5,398.9230769230769,405.23700947242446,91.5,227.73076923076923,254.26687675626295,11.5,39.5,49.92894951829049,0,0,0,0,0,0,399.0,513.7307692307693,414.7699659032518,0,0,0,9.5,17.0,18.874321179846444,1.0,10.923076923076923,20.2483047723469,6.0,15.961538461538462,19.0881759615334,5.5,10.615384615384615,11.768014014529125,495.5,631.2307692307693,529.269255309039,7.0,15.076923076923077,15.836472023586758,0,0,0,1.0,2.1153846153846154,3.871195402734644,3.0,23.46153846153846,40.12802588638596,37.5,54.0,49.51928917098871,9.0,13.961538461538462,16.39629414039836,8.5,13.692307692307692,14.600737599913863,42.1,46.815999999999995,26.263864275210278
Crystal Palace,0.0,1.894736842105263,3.510218999848953,1.0,1.6842105263157894,2.135744251723958,3.0,3.789473684210526,3.2588162023863316,0.0,0.21052631578947367,0.41885390829169555,1.0,2.615789473684211,3.4729531394437108,1.5,2.0578947368421057,2.139136842922523,14.0,22.63157894736842,22.45541391368878,59.0,51.78947368421053,38.63300107330292,12.0,52.578947368421055,64.5792500123975,0.0,0.08157894736842106,0.1328433981086476,0.04,0.06842105263157894,0.08288299369155806,0.07,0.13263157894736843,0.14184663491340677,0.12,0.10789473684210528,0.0753937034925052,0,0,0,0.31,0.48999999999999994,0.4860041152089147,0.0,0.05421052631578947,0.07403571131357896,17.7,18.157894736842106,5.90078297906997,521.0,538.2105263157895,382.87183509010316,75.6,74.68947368421053,6.493064225844041,9826.0,9643.052631578947,7499.754621716961,0,0,0,0,0,0,0,0,0,11.0,17.0,15.954797258365758,31.0,40.26315789473684,32.05350059798142,11.0,12.526315789473685,12.116877215284983,2.0,3.0526315789473686,4.209429681751916,0,0,0,0,0,0,0,0,0,0,0,0,30.0,34.94736842105263,29.607569760696386,14.0,20.31578947368421,18.508414397478028,0,0,0,15.0,14.842105263157896,9.912187548079592,19.0,21.57894736842105,18.050287130599227,3.0,6.052631578947368,6.9560020782257315,15.0,15.526315789473685,12.988749067526916,11.0,14.105263157894736,14.41023840053432,935.0,917.8421052631579,601.0019655318104,27.0,115.52631578947368,222.32318028318159,172.0,342.0,368.8180822272381,371.0,380.10526315789474,265.51457267745883,178.0,204.42105263157896,179.9071722952558,26.0,34.8421052631579,35.87518975233556,0,0,0,0,0,0,433.0,461.10526315789474,302.683717349543,0,0,0,17.0,16.05263157894737,13.906328232581048,1.0,5.578947368421052,7.812495614033856,16.0,22.789473684210527,20.641325720151315,15.0,15.473684210526315,14.388917112573642,518.0,534.2105263157895,338.95207444700765,12.0,18.736842105263158,16.254374130140263,0,0,0,1.0,3.3157894736842106,5.142984775172955,13.0,27.68421052631579,31.987936322548826,67.0,75.10526315789474,52.8665980840687,17.0,22.736842105263158,22.15812393097283,21.0,28.789473684210527,25.257735772912604,43.4,41.636842105263156,18.72948390243207
Everton,1.0,1.4090909090909092,1.9678146183760228,1.0,0.9090909090909091,1.1087999050492516,3.0,3.227272727272727,2.223935126276719,0.0,0.09090909090909091,0.29424494316824984,1.1,1.6727272727272726,1.9523323824599468,1.05,1.2818181818181817,1.1138249685682489,12.0,19.727272727272727,19.988524846549474,36.0,41.31818181818182,34.32392801868741,23.5,40.5,39.9043499240013,0.04,0.09045454545454545,0.12120338171956976,0.03,0.05818181818181818,0.07920055096227091,0.05,0.11318181818181819,0.1233804168931491,0.06,0.08272727272727273,0.07317180163227194,0,0,0,0.25,0.3704545454545455,0.38503527695805295,0.05,0.07952380952380952,0.10428212648753335,17.3,17.271428571428572,5.305293852101206,412.0,453.1818181818182,330.29159359047696,73.65,74.26818181818182,7.865196777342594,7161.5,8580.318181818182,7618.257333452402,0,0,0,0,0,0,0,0,0,9.0,12.090909090909092,9.942257532798315,34.5,40.13636363636363,34.02141546080512,8.0,10.545454545454545,10.154648350232671,1.5,3.6363636363636362,5.332250972422475,0,0,0,0,0,0,0,0,0,0,0,0,23.5,30.045454545454547,28.10605302155065,13.5,17.59090909090909,16.997644349141833,0,0,0,8.0,12.954545454545455,11.081848190052025,12.5,15.954545454545455,14.200862726063589,3.0,5.7727272727272725,9.314258491979448,7.5,10.181818181818182,8.409950815984166,9.5,13.545454545454545,12.715671892916697,689.5,780.2727272727273,501.7203909044864,31.0,99.5,214.042663748987,165.5,282.90909090909093,352.7385257275813,292.0,313.72727272727275,227.48337078275412,171.0,192.04545454545453,140.17726100250533,18.5,29.136363636363637,25.31947388031113,0,0,0,0,0,0,325.5,377.3181818181818,239.77020474248064,0,0,0,11.5,14.590909090909092,11.223525848303307,2.0,5.0,6.9350730418098765,12.5,20.90909090909091,19.464030539651464,11.0,15.909090909090908,13.70751997613368,404.0,448.8181818181818,269.48091837450266,15.0,17.772727272727273,13.630958524734433,0,0,0,1.0,3.5,6.307591797644667,7.5,27.363636363636363,35.5829620204275,55.0,61.95454545454545,46.654226851560644,10.0,24.727272727272727,28.795141485330007,14.5,22.636363636363637,22.77957617931227,50.6,48.35,18.378319266124937
Fulham,0.5,2.227272727272727,3.2649920612726087,1.0,1.9090909090909092,2.561790499391112,2.0,3.1818181818181817,2.9702711698615705,0.0,0.09090909090909091,0.29424494316824984,1.0,2.0772727272727276,2.670996214752237,0.95,1.5909090909090908,1.8204942005398246,22.0,32.18181818181818,35.314419506884505,51.0,63.86363636363637,48.530104014631945,38.0,62.77272727272727,70.34062148078469,0.015,0.16863636363636364,0.25471357311498793,0.09,0.10818181818181817,0.12385230696032248,0.095,0.14863636363636365,0.15387983730497096,0.085,0.10181818181818182,0.0820357856661965,0,0,0,0.265,0.5436363636363636,0.60930518941891,0.06,0.07476190476190477,0.09260772363140386,15.4,16.41904761904762,4.3086678971138,643.0,661.5,493.4484823787634,81.5,80.31818181818181,7.882568856336858,10959.5,11796.545454545454,9638.515992903396,0,0,0,0,0,0,0,0,0,9.5,16.0,16.52703413026237,44.5,54.77272727272727,46.87971621296136,7.0,13.409090909090908,18.332014907335488,2.5,4.2272727272727275,6.711268549322515,0,0,0,0,0,0,0,0,0,0,0,0,23.0,27.181818181818183,21.83626595419901,12.0,16.636363636363637,14.127128426391456,0,0,0,8.0,11.227272727272727,10.800933902222214,14.0,15.045454545454545,10.943479348897235,2.0,4.5,6.123724356957945,9.5,10.545454545454545,8.028089215387212,8.5,12.409090909090908,13.514222106144294,950.0,975.7727272727273,670.3984552074897,26.5,106.04545454545455,229.9006984957444,154.5,327.22727272727275,387.4811125127424,379.0,401.8636363636364,314.4248408117281,204.0,257.09090909090907,222.62950411815615,32.0,38.0,37.003217363333356,0,0,0,0,0,0,526.5,578.0,409.20864395283036,0,0,0,17.5,22.636363636363637,22.966944060551885,4.5,9.181818181818182,11.159605572635465,14.5,20.5,17.767680664354483,7.5,11.363636363636363,11.499670614518672,632.5,654.8181818181819,446.8200486148264,15.0,17.181818181818183,13.343935178971984,0,0,0,1.0,1.7727272727272727,3.1912352912285677,15.0,36.81818181818182,50.399013939367954,58.0,65.9090909090909,44.02262307031853,15.0,21.818181818181817,22.338598591070728,19.0,21.772727272727273,20.118534023517004,47.75,45.80909090909091,21.399174641202293
