Player,Nation,Pos,Team,Age,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%,Transfer_Value,Transfer_Value_Str
Joshua Acheampong,eng ENG,DF,Chelsea,18,170,0,0,1,0,0.2,0.0,0,8,0,0.0,0.0,0.12,0.0,N/A,0.0,0.0,8.9,104,83.9,2025,N/A,N/A,N/A,0,6,0,0,N/A,N/A,N/A,N/A,2,1,N/A,0,1,0,1,1,137,7,48,81,8,3,N/A,N/A,106,N/A,2,0,2,0,111,0,N/A,0,0,7,1,6,14.3,1.1,€1.1M
Tyler Adams,us USA,MF,Bournemouth,26,1620,0,3,7,0,1.6,0.9,12,61,9,0.0,0.17,0.09,0.05,N/A,0.11,0.0,16.1,702,82.9,10949,N/A,N/A,N/A,15,53,2,1,N/A,N/A,N/A,N/A,75,46,N/A,28,33,10,23,31,1091,52,291,623,189,17,N/A,N/A,513,N/A,17,1,27,12,583,41,N/A,0,3,96,29,17,63.0,11.4,€11.4M
Tosin Adarabioyo,eng ENG,DF,Chelsea,27,1229,1,1,3,0,0.9,0.2,5,37,1,0.07,0.07,0.07,0.02,N/A,0.15,0.08,12.5,988,91.4,18105,N/A,N/A,N/A,1,53,1,0,N/A,N/A,N/A,N/A,14,10,N/A,4,9,7,2,10,1198,160,570,603,26,13,N/A,N/A,713,N/A,2,0,3,0,916,8,N/A,1,0,34,36,26,58.1,6.6,€6.6M
Simon Adingra,ci CIV,"FW,MF",Brighton,23,888,2,1,0,0,2.2,1.8,35,14,114,0.2,0.1,0.22,0.18,N/A,0.71,0.08,16.2,232,74.8,3398,N/A,N/A,N/A,13,5,12,5,N/A,N/A,N/A,N/A,21,13,N/A,12,11,0,11,8,457,6,59,142,261,62,N/A,N/A,301,N/A,17,19,33,10,316,10,N/A,2,34,38,5,3,62.5,10.3,€10.3M
Emmanuel Agbadou,ci CIV,DF,Wolves,27,1140,0,0,2,0,0.3,0.2,3,22,1,0.0,0.0,0.02,0.02,N/A,0.08,0.0,31.8,663,85.0,13505,N/A,N/A,N/A,4,26,1,0,N/A,N/A,N/A,N/A,27,18,N/A,6,16,12,4,9,924,155,527,381,22,5,N/A,N/A,572,N/A,3,0,3,3,615,5,N/A,1,1,66,22,16,57.9,5.9,€5.9M
Ola Aina,ng NGA,DF,Nott'ham Forest,28,2643,2,1,2,0,0.6,0.9,56,95,55,0.07,0.03,0.02,0.03,N/A,0.07,0.22,24.8,868,73.3,13423,N/A,N/A,N/A,13,78,18,8,N/A,N/A,N/A,N/A,54,41,N/A,27,32,12,20,31,1509,143,554,628,354,21,N/A,N/A,657,N/A,37,10,40,22,719,21,N/A,2,46,166,12,18,40.0,10.8,€10.8M
Rayan Aït-Nouri,dz ALG,DF,Wolves,23,2865,4,7,7,1,2.6,4.7,79,100,158,0.13,0.22,0.08,0.15,N/A,0.25,0.12,14.9,1309,83.9,18002,N/A,N/A,N/A,36,67,27,9,N/A,N/A,N/A,N/A,82,52,N/A,26,40,6,34,24,1944,86,535,827,605,84,N/A,N/A,1006,N/A,54,24,43,44,1181,30,N/A,5,86,133,20,28,41.7,14.2,€14.2M
Kristoffer Ajer,no NOR,DF,Brentford,27,1395,0,0,5,0,0.8,1.2,27,52,42,0.0,0.0,0.05,0.08,N/A,0.19,0.0,10.2,483,78.2,7530,N/A,N/A,N/A,8,41,7,4,N/A,N/A,N/A,N/A,25,17,N/A,12,17,4,13,12,765,52,257,356,158,35,N/A,N/A,376,N/A,11,2,15,12,477,12,N/A,1,14,42,27,22,55.1,7.3,€7.3M
Manuel Akanji,ch SUI,DF,Manchester City,29,1744,0,0,3,0,0.7,0.4,38,138,6,0.0,0.0,0.04,0.02,N/A,0.05,0.0,16.3,1427,93.9,23477,N/A,N/A,N/A,9,153,11,2,N/A,N/A,N/A,N/A,16,11,N/A,5,11,8,3,7,1635,111,487,797,353,11,N/A,N/A,1071,N/A,52,0,4,5,1291,16,N/A,0,11,89,26,29,47.3,8.7,€8.7M
Nathan Aké,nl NED,DF,Manchester City,30,678,0,0,0,0,0.2,0.0,12,50,2,0.0,0.0,0.03,0.0,N/A,0.0,0.0,10.0,509,93.9,8321,N/A,N/A,N/A,1,42,1,0,N/A,N/A,N/A,N/A,9,7,N/A,2,7,2,5,3,596,51,205,331,61,5,N/A,N/A,403,N/A,12,1,4,3,449,2,N/A,0,1,24,13,10,56.5,3.3,€3.3M
